district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
Brookland Manor (RIA),Tax District,Washington,0.0005620431261310608,0.0007469077327851563,0.00018486460665409553,-1.0725399079092313e-05
Bryant Street Phase I,Tax District,Washington,2.165961559389685e-05,8.98803807541048e-05,6.822076516020795e-05,-2.981809529956081e-06
Capitol Hill BID,Business District,Washington,0.021227630786721012,0.014222022625609766,-0.007005608161111246,-0.00021477650284396077
Capitol Hill HD,Historic District,Washington,0.011565429724006185,0.015950701805041392,0.004385272081035207,-0.0003142181594739668
City Market at O Street TIF Area,Tax District,Washington,0.0005031269592078246,0.000547145712391522,4.401875318369743e-05,-2.110400828314596e-06
Cleveland Park HD,Historic District,Washington,0.0017188074743937308,0.0030960165296770818,0.001377209055283351,-0.000131189915464347
Colony Hill HD,Historic District,Washington,3.267809600054821e-05,3.307503680095296e-05,3.9694080040475146e-07,-6.963769237700035e-06
Credit Trade Area 1,Tax District,Washington,0.017901131426874595,0.010005810314118591,-0.007895321112756004,-8.809475821180968e-05
Credit Trade Area 2,Tax District,Washington,0.03185970968870076,0.018278202757035726,-0.013581506931665037,-0.0001177600013306801
Credit Trade Area 3,Tax District,Washington,0.018641256340217266,0.012136880332313325,-0.006504376007903941,-0.00010363450883232872
Credit Trade Area 4,Tax District,Washington,0.007226840173017311,0.005375290422663964,-0.0018515497503533472,-4.2876464021901484e-05
Credit Trade Area 5,Tax District,Washington,0.007243393049975249,0.005792509018566894,-0.0014508840314083546,-5.5050646096788114e-05
Credit Trade Area 6,Tax District,Washington,0.013937597867627197,0.007002997882129044,-0.006934599985498153,-0.00010127757423106232
Credit Trade Area 7,Tax District,Washington,0.004166218254764272,0.0033388542163143814,-0.000827364038449891,-3.382649629202206e-05
DC Village,Tax District,Washington,0.0008290526033826533,0.0005382652713609631,-0.00029078733202169023,-7.940507907733263e-05
Downtown BID,Business District,Washington,0.05837638716505014,0.03406019092181771,-0.024316196243232432,-0.0002667527371613687
Downtown HD,Historic District,Washington,0.007190841439085991,0.0033811265895519627,-0.0038097148495340287,-2.0961616428394336e-05
Downtown TIF Area,Tax District,Washington,0.1415645306361301,0.11192733213960063,-0.02963719849652946,-0.0013012457457080018
Dumbarton Oaks Park,Historic District,Washington,1.0565666143364317e-06,7.679186351736406e-06,6.622619737399974e-06,-1.2082096418453148e-05
Dupont Circle BID,Business District,Washington,0.004597976654808467,0.0037354525018409596,-0.0008625241529675075,-2.2158564661367564e-05
Dupont Circle HD,Historic District,Washington,0.010022414809159668,0.010129266868594876,0.00010685205943520779,-9.379534617437457e-05
Eastern Market,Infrastructure District,Washington,0.001009071429387213,0.0007379757041303535,-0.0002710957252568594,-7.981377848409466e-06
Emerald St HD,Historic District,Washington,1.3282551723086568e-05,1.5365742364079083e-05,2.083190640992515e-06,-1.1491360965010244e-06
Federal Triangle HD,Historic District,Washington,0.004968202627741545,0.002240104146864542,-0.002728098480877003,-3.393031306586636e-05
Financial HD,Historic District,Washington,0.003437438854351739,0.001425837716138051,-0.002011601138213688,-1.541658207315777e-05
Foggy Bottom HD,Historic District,Washington,0.0002945808346161813,0.0004141749260725393,0.000119594091456358,-5.7453589761280455e-06
Ford's Theatre NHS,Historic District,Washington,0.000102109616371228,3.9250812389009686e-05,-6.285880398221831e-05,-1.7999786905420478e-07
Fort McNair,Historic District,Washington,0.00028756221353523214,5.8957284850183534e-08,-0.00028750325625038196,-3.6494195910563576e-05
Foxhall HD,Historic District,Washington,0.00018942730014174597,0.00022586535826105313,3.6438058119307157e-05,-1.2127780109949526e-05
Friendship Heights BID,Business District,Washington,0.001781270686379382,0.0010780781714492436,-0.0007031925149301385,-2.0287693359932746e-05
GWU / Old West End HD,Historic District,Washington,0.0020273500821279293,0.0034808823155184736,0.0014535322333905443,-1.5727795243947185e-05
