district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
Little Hollywood Historic District,Historic District,San Francisco,0.0024054439612751256,0.003534200007916357,0.0011287560466412315,-1.828894528443925e-05
Lombard Street Historic District,Historic District,San Francisco,0.00042904622207710967,0.00016976358913798942,-0.0002592826329391203,-1.0187377483816817e-06
Lower Nob Hill Apartment Hotel Historic District,Historic District,San Francisco,0.02423610524084909,0.026980682167098927,0.002744576926249836,-2.4629069230286404e-05
Lower Nob Hill Apartment Hotel Historic District - Addition,Historic District,San Francisco,0.00017654423408430424,0.0002771801013524289,0.00010063586726812468,-3.577106326702051e-07
Lower Polk,Business District,San Francisco,0.007781756800420024,0.009022218447648478,0.001240461647228454,-1.8445485238771653e-05
Marina Corporation Residential Historic District,Historic District,San Francisco,0.0035696691711817894,0.004242152910971341,0.0006724837397895514,-2.786981576718972e-05
Marina Corporation Residential Historic District Extension,Historic District,San Francisco,2.980766403379061e-05,1.7339127901815652e-05,-1.246853613197496e-05,-4.3289173845550977e-07
Marina Historic District,Historic District,San Francisco,0.0011471922590302118,0.0008682476067430454,-0.0002789446522871664,-1.0981521427311236e-05
Market Street Cultural Landscape District,Historic District,San Francisco,0.014523122547305424,0.009177624992938687,-0.005345497554366738,-1.8063492007058812e-05
Market Street Masonry Historic District,Historic District,San Francisco,0.00036172003111275636,0.0004471896355670398,8.546960445428346e-05,-8.581641850469168e-07
Market Street Theatre and Loft Historic District,Historic District,San Francisco,0.008854257268106876,0.00799299978825666,-0.0008612574798502158,-5.207842605159385e-06
Mediterranean Revival Tracts Historic District,Historic District,San Francisco,0.0007821922339986792,0.0006041025944515559,-0.00017808963954712325,-3.5905986806028523e-06
Mid Market,Business District,San Francisco,0.015483009890447628,0.0136820168418577,-0.001800993048589928,-3.9684299281361746e-05
Mint-Mission Conservation District,Historic District,San Francisco,0.0018596990081931372,0.0013126703601980933,-0.0005470286479950439,-1.9222507035010494e-06
